CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
A30,Aththiditya Daily,"RVMP+76X, B389, Dehiwala-Mount Lavinia",6.8054405,79.4421323,Arpico,2/24/2025
A31,Kandana Daily,"88 Negombo Rd, Kandana",7.0512105,79.8940493,Arpico,2/24/2025
A32,Mulleriyawa Daily,"WWGM+Q8M, Colombo",6.9369712,79.9799444,Arpico,2/24/2025
A33,Chilaw Daily,"HQGX+H9P, Chilaw",7.5764624,79.7958755,Arpico,2/24/2025
A34,Ambatenna Daily,"48 Matale Rd, Ambatenna",7.3481636,80.6140162,Arpico,2/24/2025
A35,Watareka Daily,"Avissawella Rd, Padukka",6.8558974,80.0634892,Arpico,2/24/2025
A36,Rathnapura Main Arpico Daily,Arpico Daily - Ratnapura,6.6808602,80.4104634,Arpico,2/24/2025
A37,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.35647,80.41726,Arpico,2/24/2025
A38,Pelmadulla Arpico Daily,"Pelmadulla Division, Ratnapura, Sri Lanka",6.6475,80.5153,Arpico,2/24/2025
A39,Battaramulla SC,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.8834017,79.93387583,Arpico,2/24/2025
A40,Arpico SuperCentre Dehiwala,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.883145,79.933756,Arpico,2/24/2025
A41,Arpico SuperCentre Gampaha,"Arpico Super Gampaha, Gampaha-Yakkala Road, Yakkala 11870, Sri Lanka",7.09165735,79.99965831,Arpico,2/24/2025
A42,Arpico SuperCentre Wellawatte,"Wellawatte, Colombo, Western Province, Sri Lanka",6.8743844,79.8591176,Arpico,2/24/2025
A43,Arpico SuperCentre Negombo,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.883145,79.933756,Arpico,2/24/2025
A44,Arpico SuperCentre Kandy,"Arpico Furniture, Kandy 32350, Sri Lanka",7.280639,80.620608,Arpico,2/24/2025
A45,Arpico SuperCentre Piliyandala,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.8834017,79.93387583,Arpico,2/24/2025
A46,Arpico SuperCentre Kalutara,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.883145,79.933756,Arpico,2/24/2025
A47,Arpico SuperCentre Gelioya,"Arpico Supercentre, Colombo—Matara Road, Thotamuna, Matara 81750, Sri Lanka",5.9448271,80.52328213,Arpico,2/24/2025
A48,Arpico SuperCentre Haloluwa,"Arpico Supercentre, 1034/V Pannipitiya Road, Sri Jayawardenepura Kotte 10116, Sri Lanka",6.883145,79.933756,Arpico,2/24/2025
1017,FC STAPLES STREET,"21,  Staples  Street,  Colombo  02",6.935649,79.845775,Cargills,2/24/2025
1018,FC KANDY,"3 ,  Dalada  Veedia ,  Kandy .",7.296226,80.648898,Cargills,2/24/2025
1033,FC MAJESTIC CITY,"Majestic  City  ,  10 , Station Road , Colombo  04",6.8937047,79.8545846,Cargills,2/24/2025
1015,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.415518,80.851091,Cargills,2/24/2025
1020,FC NUWARA ELIYA,"90 , Kandy  Road ,  Nuwaraeliya .",6.411189,80.846002,Cargills,2/24/2025
1005,FC FORT,"40 , York Street ,  Fort ,  Colombo  01",6.9363463,79.8451648,Cargills,2/24/2025
1076,FC KURUNEGALA,"44 , Negombo  Road , Kurunegala .",7.4846002,80.3549741,Cargills,2/24/2025
1083,FC MATARA,"60 , Anagarika Dharmapala Mw , Matara .",5.947822,80.5482919,Cargills,2/24/2025
1084,FC WATTALA,"315 , Negombo  Road , Wattala .",6.984836,79.888517,Cargills,2/24/2025
1106,FC DEHIWALA,"65 A ,  Galle  Road , Dehiwala .",6.8340506,79.8673709,Cargills,2/24/2025
1104,FC RATNAPURA,"Municipal Commercial Complex ,Old Bus Stand Site,Nagarasaba Pedesa, Ratnapura",7.167865,79.947151,Cargills,2/24/2025
1105,FC COLPETTY,"407 , Galle  Road , Colpetty .",6.93407,80.135575,Cargills,2/24/2025
1107,EX THIMBIRIGASYAYA,"90 , Thimbirigasyaya   Road , Colombo 05",6.411189,80.846002,Cargills,2/24/2025
1201,EX MATARA,"No. 1,  Bus Stand Site, Matara",8.669216,81.206152,Cargills,2/24/2025
1301,EX MALIGAWATTE,"301, Pradeepa Mawatha, Colombo 10",6.934791,79.869408,Cargills,2/24/2025
1111,FC KEGALLE,"447 / 2 , Kandy  Road , Kegalla .",7.2523,80.3436,Cargills,2/24/2025
1114,FC ALUTHGAMA,"303 , Main  Street , Aluthgama .",6.43333,79.99972,Cargills,2/24/2025
1108,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9480164,79.8598246,Cargills,2/24/2025
1117,FC AMBALANGODA,"98 A , New Road , Ambalangoda .",6.2355,80.0538,Cargills,2/24/2025
1109,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",7.565013,79.802067,Cargills,2/24/2025
1115,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4859894,79.9832676,Cargills,2/24/2025
1113,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.2728825,80.6040777,Cargills,2/24/2025
1133,FC WARAKAPOLA,"97 , Kandy  Road , Warakapola",7.222439,80.191608,Cargills,2/24/2025
1303,EX ALEXANDRA PLACE,"75, C.W.W. Kannangara Mw. Colombo 7",6.8910338,79.8484293,Cargills,2/24/2025
1124,FC MATALE,"99 A , King  Street , Mathale",7.249969,80.592953,Cargills,2/24/2025
1305,EX HAVELOCK ROAD,"323, Havelock Rd. Coombo 6",6.8814334,79.8695965,Cargills,2/24/2025
1116,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9529643,80.212406,Cargills,2/24/2025
1121,FC GALLE,"24 & 26 ,  Gamini  Mawatha , Galle .",6.0686329,80.2181013,Cargills,2/24/2025
1130,FC MOUNT LAVINIA STC,"270 , Galle  Road , Mount Lavinia .S.T.C",6.9098375,79.8501529,Cargills,2/24/2025
1138,FC EMBILIPITIYA,"51 , Nonagama   Road , Embilipitiya .",6.2934953,80.884298,Cargills,2/24/2025
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3353681,80.4109817,Cargills,2/24/2025
1137,FC MUTUWAL,"54 /1 , Centre  Road, Mattakkuliya .",6.9733929,79.8755033,Cargills,2/24/2025
1308,EX BAMBALAPITIYA,"762, Galle Rd. Colombo 4",6.894858,79.85481,Cargills,2/24/2025
1139,FC BALANGODA,"157 , Old Road , Balangoda .",6.651389,80.697868,Cargills,2/24/2025
1145,FC MARADANA,"585 , Maradana  Road , Maradana .",6.926472,79.8640039,Cargills,2/24/2025
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9879886,81.0595402,Cargills,2/24/2025
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",6.976602,80.763936,Cargills,2/24/2025
1157,FC PILIMATALAWA,"178, Colombo Road , Pilimathalawa.",7.263315,80.5470324,Cargills,2/24/2025
1158,FC DAMBULLA,"643, Anuradhapura Road,  Dambulla",7.88005,80.650647,Cargills,2/24/2025
1159,FC AKURANA,"281, Matale Road , Akurana.",7.36032,80.60062,Cargills,2/24/2025
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.326357,81.307648,Cargills,2/24/2025
1164,FC HATTON,"171, Dimbulla Road  ,  Hatton.",6.8916333,80.5984591,Cargills,2/24/2025
1170,FC KUNDASALE,"Bamunupola Watta,  Kundasale.",7.36667,80.6,Cargills,2/24/2025
1169,FC TANGALLE,"No.4,Mahawela Rd,  Tangalle.",6.0219509,80.7959935,Cargills,2/24/2025
1187,FC KARAPITIYA,"Namal Traders, Karapitiya.",6.0670789,80.2257615,Cargills,2/24/2025
1186,FC EHELIYAGODA,"No.44, Main Street , Eheliyagoda",6.844027,80.270705,Cargills,2/24/2025
1188,FC GAMPOLA,"No.8/8, Nawalapitiya Road, Gampola.",7.1593404,80.5650356,Cargills,2/24/2025
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5764408,81.2317384,Cargills,2/24/2025
