CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE,DEMAND
1394,EX GALAGEDARA,"No. 200/C Hospital Junction, Galagedara.",7.3699683,80.5327324,Cargills,2025-02-24,1
1393,EX MULLAITTIVE,"No 197, P.W.D.Road , Mullathiv",7.873054,80.771797,Cargills,2025-02-24,1
1717,EX POOJAPITIYA,"No 6/1/C, Owissa Road, Poojapitiya.",7.3748665,80.6064576,Cargills,2025-02-24,1
1726,EX ANAMADUWA,"No 106, Puttalama Road, Anamaduwa.",7.8776471,80.0108891,Cargills,2025-02-24,1
1727,EX MAGGONA,"No. 396/5, Galle Road, Maggona",6.5094589,79.9819466,Cargills,2025-02-24,1
1724,EX NELUWA,"No. 10, Sawijaya Building, Dellawa Road, Galle.",6.3669453,80.4002941,Cargills,2025-02-24,1
1490,FC NARAMMALA,"No. 161, Negombo Road,Narammala.",7.4270605,80.2137994,Cargills,2025-02-24,1
1718,EX AHANGAMA,"No.55/A,Galle Road, Piyadigama, Ahangama.",5.9739747,80.3621595,Cargills,2025-02-24,1
1735,EX MALKADUWAWA,"FOOD CITY  EXPRESS Ã¢â‚¬â€œMALKADUWAWA,Molawatta, Malkaduwawa,Kurunegala.",7.4740428,80.3421984,Cargills,2025-02-24,1
1739,EX MAKULUDUWA,"No 16 B,Makuluduwa,Piliyandala.",6.8140823,79.9346603,Cargills,2025-02-24,1
1736,EX KATARAGAMA,"No 53/1/1/2, Sella Road, Kataragama.",6.4247114,81.3094953,Cargills,2025-02-24,1
1741,EX MANNAR,"No Road 01 ,Pallimulei Mannar",8.9809743,79.9044149,Cargills,2025-02-24,1
1738,EX KALMUNAI,"Cargills Food City, Saindhamaruthu, Kalmunai",7.3930492,81.8360977,Cargills,2025-02-24,1
1743,EX KEKIRAWA,"No 15, Malawa Village,Central Road, Kekirawa",8.042103,80.593833,Cargills,2025-02-24,1
1745,EX RAHULA JUNCTION,"No. 39,Perera MW,Buthgamuwa Rd,Rajagiriya",6.9097039,79.9011531,Cargills,2025-02-24,1
1749,EX ALADENIYA,"No. 418/A, Kurunegala Road,Aladeniya,Werallagama Ã¢â‚¬â€œ Kandy.",7.330693,80.5688428,Cargills,2025-02-24,1
1550,FC MATARA 02,"No. 28,37 ,Araliya Mawatha ,Kotuwegoda ,Matara.",5.9450937,80.5528729,Cargills,2025-02-24,1
1559,FC ANURADHAPURA 02,"No.46 Maithreepala Senanayeke Mawathe,Anuradapura",8.3192025,80.3990352,Cargills,2025-02-24,1
1498,FC KURUNEGALA 03,"Cargills food city No.200/Colombo road,Kurunegala - 03",7.1616068,79.9452168,Cargills,2025-02-24,1
1571,FC DAMBULLA 02,"No.166, Kurunegala Rd, Dambulla",7.8681306,80.6455959,Cargills,2025-02-24,1
1567,FC KEGALLE 02,"No: 75/10, Hitinawatta Rd, Nidahas Mw, Kegalle",7.2513317,80.3463754,Cargills,2025-02-24,1
1584,FC MAHIYANGANAYA,"NO.113,TILE FACTORY RD,MAHIYANGANAYA",7.342896,80.9932316,Cargills,2025-02-24,1
1579,FC MIRISSA,"Mahawaththa,  Galle Road, Mirissa.",5.948262,80.4715866,Cargills,2025-02-24,1
1760,EX THALDUUWA,"No. 499/A, Thalduwa, Avissawella",6.9671512,80.229343,Cargills,2025-02-24,1
1589,FC ALUTHGAMA 02,"No:107 or 107/3, Galle Rd, Kaluwamodara, Aluthgama",6.4402017,79.9942713,Cargills,2025-02-24,1
1592,FC PILIMATHALAWA 02,"No. 231 ,Urapola, Pilimathalawa.",7.2640563,80.5389834,Cargills,2025-02-24,1
1763,EX URAGASMANHANDIYA,"No. 5 , L.S.Mawatha ,Uragasmanhandiya.",6.349044,80.0978637,Cargills,2025-02-24,1
1597,FC RAMBUKKANA,"No:35,DM Dissanayake Kumarathunga Mawatha, Rambukkana",7.3135237,80.3881333,Cargills,2025-02-24,1
1768,EX ELPITIYA,"No. 22 A , Pituwala Road, Elpitiya",6.2796618,80.1681778,Cargills,2025-02-24,1
