CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
1106,FC DEHIWALA,"65 A ,  Galle  Road , Dehiwala .",6.8512992,79.865918,Cargills,True
1104,FC RATNAPURA,"Municipal Commercial Complex ,Old Bus Stand Site,Nagarasaba Pedesa, Ratnapura",6.7055742,80.3847345,Cargills,True
1105,FC COLPETTY,"407 , Galle  Road , Colpetty .",6.9097726,79.8501472,Cargills,True
1107,EX THIMBIRIGASYAYA,"90 , Thimbirigasyaya   Road , Colombo 05",6.8936437,79.8704269,Cargills,True
1201,EX MATARA,"No. 1,  Bus Stand Site, Matara",5.9440938,80.5492705,Cargills,True
1301,EX MALIGAWATTE,"301, Pradeepa Mawatha, Colombo 10",6.9347204,79.8685915,Cargills,True
1111,FC KEGALLE,"447 / 2 , Kandy  Road , Kegalla .",7.2532238,80.3454101,Cargills,True
1114,FC ALUTHGAMA,"303 , Main  Street , Aluthgama .",6.4345732,80.0003875,Cargills,True
1108,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9477493,79.8613645,Cargills,True
1117,FC AMBALANGODA,"98 A , New Road , Ambalangoda .",6.2441521,80.0590804,Cargills,True
1109,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",6.8932435,79.8769808,Cargills,True
1115,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4730375,79.984256,Cargills,True
1113,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.3140482,80.6320582,Cargills,True
1133,FC WARAKAPOLA,"97 , Kandy  Road , Warakapola",7.2281664,80.2003495,Cargills,True
1303,EX ALEXANDRA PLACE,"75, C.W.W. Kannangara Mw. Colombo 7",6.9113706,79.8649632,Cargills,True
1124,FC MATALE,"99 A , King  Street , Mathale",7.4718714,80.6227811,Cargills,True
1305,EX HAVELOCK ROAD,"323, Havelock Rd. Coombo 6",6.8822655,79.8694338,Cargills,True
1116,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9336083,80.2166177,Cargills,True
1121,FC GALLE,"24 & 26 ,  Gamini  Mawatha , Galle .",6.0331557,80.2155487,Cargills,True
1130,FC MOUNT LAVINIA STC,"270 , Galle  Road , Mount Lavinia .S.T.C",6.8647757,79.8632349,Cargills,True
1138,FC EMBILIPITIYA,"51 , Nonagama   Road , Embilipitiya .",6.3162324,80.8433145,Cargills,True
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3259528,80.4053739,Cargills,True
1137,FC MUTUWAL,"54 /1 , Centre  Road, Mattakkuliya .",6.9716722,79.8786833,Cargills,True
1308,EX BAMBALAPITIYA,"762, Galle Rd. Colombo 4",6.8948345,79.8548386,Cargills,True
