ADDRESS,BRAND,CODE,DISTRICT,LATITUDE,LOCATION,LONGITUDE
"No. 226, High Level Road, Maharagama",Keels,SCMG,Colombo,6.8496658,Maharagama,79.9235834
"No. 388/A, Galle Road, Mount Lavinia",Keels,SCML,Colombo,6.8647757,Mount Lavinia,79.8632349
"No. 459, Nawala Road, Rajagiriya",Keels,SCNW,Colombo,6.9059941,Nawala,79.894945
"No. 216 A, Thalawathugoda Road, Pitakotte",Keels,SCPK,Colombo,6.8802431,Pitakotte,79.9475213
"No. 361, Highlevel Road, Pannipitiya",Keels,SCPN,Colombo,6.8435174,Pannipitiya,79.9581664
"No. 296, Kaduwela Road, Pittugala, Malambe ",Keels,SCPT,Colombo,6.9087426,Pittugala ,79.9436659
"No. 71, Sunethradevi Road, Kohuwala",Keels,SCPY,Colombo,6.8638002,Kohuwala 2,79.8875011
"No. 522, Kotte Road, Rajagiriya",Keels,SCRJ,Colombo,6.9103636,Rajagiriya 2,79.8936349
"No. 413, Galle Road, Rathmalana",Keels,SCRM,Colombo,6.816062,Rathmalana,79.8769278
"No. 235, Horana Road, Raththanapitya, Boralasgamuwa",Keels,SCRT,Colombo,6.8414636,Raththanapitiya,79.9014475
"No. 475, Sri Jayawardenapura Road, Rajagiriya",Keels,SCSJ,Colombo,6.9094108,Rajagiriya,79.8942538
"No. 407, Thimbirigasyaya Road, Colombo 05",Keels,SCTB,Colombo,6.8936437,Thimbirigasyaya,79.8704269
"No. 427, Kaduwela Road, Thalahena",Keels,SCTH,Colombo,6.9082532,Thalahena,79.9447799
"No. 199, Union Place, Colombo 2",Keels,SCUP,Colombo,6.9197379,Union Place,79.8589027
"No. 4 & 6, Soratha Mawatha, Nugegoda",Keels,SCWJ,Colombo,6.8549219,Wijerama,79.9064625
"No. 46, Colombo Road, Kaluwella, Galle",Keels,SFGL,Galle,6.0328817,Galle,80.2152229
"No. 94, Makola Road, Kiribathgoda",Keels,SGKB,Gampaha,6.9773951,Kiribathgoda,79.9296825
"No: 690, Biyagama Road, Pilapitiya, Kelaniya",Keels,SGKY,Gampaha,6.9512173,Kelaniya,79.9078132
"No: 812, Negombo Road, Mahabage",Keels,SGMH,Gampaha,7.0243153,Welisara,79.899739
"No. 384, Negombo Road, Wattala",Keels,SGWA,Gampaha,6.9887181,Wattala 2,79.8913253
"No. 161, Galle Road, Walana, Panadura",Keels,SIP2,Galle,6.4190267,Panadura 2,80.0024827
"No. 489, William Gopallawa Mawatha, Kandy",Keels,SKK2,Kandy,7.279561,Kandy 2,80.6198891
"City Centre Compex, Level 1, L1 -14, Kandy (Pvt) Ltd, Kandy",Keels,SKKA,Kandy,7.2905715,Kandy,80.6337262
"No. 227, Anagarika Dharmapala Mawatha, Nupe, Matara",Keels,SMMR,Matara,5.9478241,Matara,80.5344474
"No. 139, Athurugiriya Road, Kottawa",Keels,SCK3,Colombo,6.8441906,Kottawa 3,79.9686816
"No. 158, Pannipitiya Road, Thalawathugoda",Keels,SCTG,Colombo,6.8749467,Thalawathugoda 2,79.9364678
"No. 315, Handala Road, Wattala",Keels,SGKR,Gampaha,6.9906677,Kerawalapitiya,79.8931709
"No. 09, Panadura Road, Moragahayata, Rathnapura",Keels,SRRP,Ratnapura,6.6993724,Rathnapura,80.379375
"No. 75A, Enderamulla, Wattala",Keels,SGEM,Gampaha,6.9977837,Enderamulla,79.9189814
"No. 197, Kandy Road, Kiribathgoda",Keels,SGKG,Gampaha,6.9786855,Kiribathgoda 2,79.9277
"No. 465,Wackwella Road, Kalegana, Galle",Keels,SFGA,Galle,6.0599745,Galle 2,80.2021933
"No. 735, Galle Road, Wettumakada, Kauthara South, Kaluthara",Keels,SIKS,Kalutara,6.5654599,Kaluthara,79.9676493
"No. 25, Edmonton Road, Colombo - 5",Keels,SCET,Colombo,6.8792387,Edmonton,79.8764553
"No. 498, Kandy Road, Dalugama, Kelaniya",Keels,SGTY,Gampaha,6.9736276,Tyre Junction,79.9208395
"No. 16, St Peters Road, Moratuwa",Keels,SCMW,Colombo,6.7684114,Moratuwa 3,79.8868727
"No. 41, Bauddhaloka Mawatha, Kurunegala",Keels,SNRU,Kurunegala,7.4832133,Kurunegala 02,80.3587461
"No. 220/1, Bandaragama Road, Kasbewa",Keels,SCKZ,Colombo,6.7919378,Kesbewa,79.9300883
"No. 167, Galle road, Beruwala",Keels,SIBE,Kalutara,6.4730375,Beruwala,79.984256
"No. 968, Mahabage Road, Ragama",Keels,SGRA,Gampaha,7.0270252,Ragama,79.9150162
"No. 215, IDH Road, Gohtatuwa",Keels,SCGT,Colombo,6.9278516,Gothatuwa,79.9106324
"No 361, Welewatta Matara.",Keels,SMMS,Matara,5.9471016,Matara 2,80.5625956
"208, Aththidiya Road, Bellanthotha",Keels,SCAD,Colombo,6.846864,Attidiya 02,79.8851625
"267, Horana Road, Wekada, Panadura",Keels,SIP4,Kalutara,6.7096021,Panadura 03,79.9210634
"11, Nagolla Road, Mathale",Keels,SYMT,Matale,7.452174,Matale,80.6133841
"125, Colombo Road, Gampaha",Keels,SGGP,Gampaha,7.0849349,Gampaha 2,80.0087892
"551, Highlevel Road, Homagama",Keels,SCGO,Colombo,6.8444164,Godagama,80.0065919
"21, Negembo Road, Kochchikade",Keels,SGKC,Gampaha,7.091585,Kochchikade,79.8884605
"735, Galle Road, Nalluruwa, Panadura.",Keels,SINL,Galle,6.4190267,Nalluruwa,80.0024827
"Ruwangiri”, Kaluwamodara, Galle Road, Aluthgama.",Keels,SIAL,Kalutara,6.4425457,Aluthgama,79.9922648
"230, Avissawella Road, Wellampitiya.",Keels,SCWP,Colombo,6.9319982,Wellampitiya,79.907722
"242, Colombo Road, Miriswatta, Piliyandala",Keels,SCPI,Colombo,6.8017575,Piliyandala,79.9227313
"No. 461, Kandy road, Kegalle.",Keels,SLKV,Kegalle,7.2532238,Kegall,80.3454101
"No.28, Veyangoda Road, Minuwangoda.",Keels,SGMI,Gampaha,7.1694282,Minuwangoda,79.9520782
"No 248, Pallegama Embilipitiya.",Keels,SREP,Ratnapura,6.3162324,Embilipitiya,80.8433145
" NO: 134 Minuwangoda Road, Kanuwana, Ja-Ela",Keels,SGJA,Gampaha,7.083344,Ja Ella,79.8926809
"No: 28A, Chilaw Road, Wennappuwa",Keels,SPWN,Puttalam,7.3439464,Wennappuwa,79.840831
"No: 42D, Hospital Road, Angoda.",Keels,SCMU,Colombo,6.9289776,Mulleriyawa -Angoda,79.9277399
"192, Puttalam Road, Kurunegala",Keels,SNRN,Kurunegala,7.4880602,Kurunegala 03,80.3632963
"No. 290, Old Galle Road, Gorakana, Panadura",Keels,SIGN,Kalutara,6.7604617,Gorakana,79.8975639
"No. 339, Kimbulapitiya Road, Negombo",Keels,SGN2,Gampaha,7.204378,Negombo 2,79.876023
"27/2, Nawalapitiya Road, Gampola",Keels,SKGZ,Kandy,7.1593375,Gampola,80.5627166
"No. 110, Puttlam Road, Chilaw",Keels,SPCH,Puttalam,7.5686716,Chilaw,79.7995779
"1059, Horana Road, Kesbewa  ",Keels,SCKJ,Colombo,6.7919378,Kesbewa 2,79.9300883
"No. 324, Kadawatha Road, Delpe Junction, Mahara",Keels,SGRD,Colombo,6.8562078,Delpe,79.8785357
"No 555, Chilaw Road, Negombo",Keels,SGND,Gampaha,7.2154132,Dalupotha,79.84165
"No. 434, Kandy Road, Ranmuthugala, Kadawatha",Keels,SGEL,Gampaha,7.0147657,Eldeniya,79.9690126
"No. 306, New Kandy Road, Biyagama",Keels,SCBI,Colombo,6.9084066,Biyagama,79.9446174
"No. 34, Rathnapura Road, Eheliyagoda",Keels,SREG,Ratnapura,6.8550009,Ehaliyagoda,80.2599776
"No. 40, Horagalla South, Colombo Road, Marawila. ",Keels,SPMV,Puttalam,7.4146725,Maravila,79.828922
"833A, Aluvihare, Mathale",Keels,SYMX,Matale,7.4975346,Matale 2,80.6243663
"1416, Jaffna Road, Katugasthota",Keels,SKKM,Kandy,7.3183255,Katugasthota,80.6293876
"No. 233, Rathnapura Road, Horana",Keels,SIHZ,Kalutara,6.7188231,Horana,79.9930907
"# 89, Kurunegala Road, Puttalama.",Keels,SPPU,Kurunegala,7.7612443,Puttalam,80.1120736
"No. 39, Gampaha Road, Miriswattha",Keels,SGMP,Gampaha,7.0754409,Miriswatta,80.0143367
"No. 244, Pothuarawa Road, Akuregoda",Keels,SCAK,Colombo,6.8952571,Akuregoda,79.9505987
"No. 460, T.B. Jaya Mawatha, Colombo 10.",Keels,SCDR,Colombo,6.928269,Darley Road,79.8636961
"No. 120, Kandy Road, Thihariya",Keels,SGTI,Gampaha,7.1208728,Thihariya,80.0636742
"One Galle Face Mall, Colombo.",Keels,SCSL,Colombo,6.9270786,Shangri-La Mall,79.861243
"No. 281, Matara Road,Tangalle",Keels,SHTA,Hambantota,6.0265276,Tangalle,80.7948493
"118/1 A, Maharagama road, Mavittara,Piliyandala",Keels,SCPA,Colombo,6.8054739,Piliyandala 2,79.9263413
"Nos. 854 Aluthmawatha Road, Mattakkuliya.",Keels,SCMY,Colombo,6.9716722,Mattakuliya,79.8786833
"No. 800,2nd Kurana, Colombo Road, Negombo",Keels,SGNK,Gampaha,7.1928611,Negombo Kurana,79.8604831
"236, Negombo Road,Weligampitiya, Ja Ela",Keels,SGJW,Gampaha,7.0673864,JA Ela 3,79.8934866
