CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1177,FC NUGEGODA 2,"No.79,Stanley Thilakarathna Mawatha,  Nugegoda",6.8699688,79.8882835
1180,FC RATMALANA,"No.143,Mount City,Galle Rd,  Rathmalana.",6.826776,79.877007
1168,FC WIJERAMA,"No.533,High Level Rd,  Wijerama  , Nugegoda.",6.8556095,79.9123739
1170,FC KUNDASALE,"Bamunupola Watta,  Kundasale.",7.36667,80.6
1182,FC PANADURA 2,"No.518,Galle Rd,  Panadura ( 02 ).",6.704791,79.909546
1169,FC TANGALLE,"No.4,Mahawela Rd,  Tangalle.",6.0219509,80.7959935
1172,FC KOCHCHIKADE,"No.37, Negombo Road,  Kochchikade.",7.2657,79.8603
1191,FC PEPILIYANA,"No.473/A.Colombo Road ,  Pepiliyana ,  Boralasgamuwa",6.8564851,79.8906015
1187,FC KARAPITIYA,"Namal Traders, Karapitiya.",6.0670789,80.2257615
1186,FC EHELIYAGODA,"No.44, Main Street , Eheliyagoda",6.844027,80.270705
1188,FC GAMPOLA,"No.8/8, Nawalapitiya Road, Gampola.",7.1593404,80.5650356
1140,FC HORANA,"No.142, Panadura Road ,  Horana.",6.7191705,80.0574859
1184,FC RAGAMA,"No.33, Kadawatha Road, Ragama",7.028374,79.9226189
1192,FC NITTAMBUWA,"No.89, Kandy  Road, Nittambuwa.",7.1372076,80.0923231
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5764408,81.2317384
1149,FC KALUTARA,"No.272,Galle Road,  Kalutara  South",6.704791,79.909546
1194,EX BIA KATUNAYAKE,"CFC.Depatur concord, B.I.A. Katunayake",6.855323,79.865709
1196,FC KADAWATHA 2,"No.317, Kanday Road, Kadawatha.",7.0009,79.95012
1189,FC KURUNEGALA 2,"No.103, Dambulla Road, Kurunegala.",7.4975533,80.3833327
1198,FC MIRIGAMA,"No.93, Giriulla  Road ,   Merigama",7.247844,80.129836
1197,FC ATHURUGIRIYA,"No.100, Main Road,     Athurugiriya.",6.8687,79.9998
1199,FC MAWANELLA,"No.22/C ,Kandy Road   Mawanella.",7.251092,80.450221
1162,FC TRINCOMALEE,"No.190, Thirugnanasampanthan Street, Trincomalee.",8.579493,81.22364
1278,FC KULIYAPITIYA,"No. 183 , Hettipola Road , Kuliyapitiya",7.4734938,80.0446206
1279,FC BANDARAGAMA,"No. 51 , Panadura Road , Bandaragama .",6.7063806,79.9745219
