CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
1083,FC MATARA,"60 , Anagarika Dharmapala Mw , Matara .",5.9494158,80.5447271,Cargills,True
1084,FC WATTALA,"315 , Negombo  Road , Wattala .",6.9849037,79.8885137,Cargills,True
1106,FC DEHIWALA,"65 A ,  Galle  Road , Dehiwala .",6.8776684,79.860453,Cargills,False
1104,FC RATNAPURA,"Municipal Commercial Complex ,Old Bus Stand Site,Nagarasaba Pedesa, Ratnapura",6.7055742,80.3847345,Cargills,False
1105,FC COLPETTY,"407 , Galle  Road , Colpetty .",6.9026651,79.8525143,Cargills,False
1107,EX THIMBIRIGASYAYA,"90 , Thimbirigasyaya   Road , Colombo 05",6.8909812,79.8665045,Cargills,False
1201,EX MATARA,"No. 1,  Bus Stand Site, Matara",5.9496309,80.5468529,Cargills,False
1301,EX MALIGAWATTE,"301, Pradeepa Mawatha, Colombo 10",6.9351549,79.8713299,Cargills,True
1111,FC KEGALLE,"447 / 2 , Kandy  Road , Kegalla .",7.2546277,80.3551265,Cargills,True
1114,FC ALUTHGAMA,"303 , Main  Street , Aluthgama .",6.4345732,80.0003875,Cargills,True
1108,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9477493,79.8613645,Cargills,True
1117,FC AMBALANGODA,"98 A , New Road , Ambalangoda .",6.2441521,80.0590804,Cargills,True
1109,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",6.8878632,79.8730399,Cargills,False
1115,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4672736,79.9867004,Cargills,False
1113,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.314142,80.6316726,Cargills,False
1133,FC WARAKAPOLA,"97 , Kandy  Road , Warakapola",7.2285555,80.200415,Cargills,True
1303,EX ALEXANDRA PLACE,"75, C.W.W. Kannangara Mw. Colombo 7",6.9113706,79.8649632,Cargills,False
1124,FC MATALE,"99 A , King  Street , Mathale",7.4710132,80.6227733,Cargills,False
1305,EX HAVELOCK ROAD,"323, Havelock Rd. Coombo 6",6.8822655,79.8694338,Cargills,True
1116,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9287031,80.2171978,Cargills,False
1121,FC GALLE,"24 & 26 ,  Gamini  Mawatha , Galle ",6.0331557,80.2155487,Cargills,False
1130,FC MOUNT LAVINIA STC,"270 , Galle  Road , Mount Lavinia .S.T.C",6.8255056,79.8724769,Cargills,False
1138,FC EMBILIPITIYA,"51 , Nonagama   Road , Embilipitiya .",6.3162324,80.8433145,Cargills,False
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3191966,80.3990307,Cargills,False
1137,FC MUTUWAL,"54 /1 , Centre  Road, Mattakkuliya .",6.9716722,79.8786833,Cargills,True
1308,EX BAMBALAPITIYA,"762, Galle Rd. Colombo 4",6.8948345,79.8548386,Cargills,True
1139,FC BALANGODA,"157 , Old Road , Balangoda .",6.6668611,80.7048084,Cargills,True
1145,FC MARADANA,"585 , Maradana  Road , Maradana .",6.9326358,79.8602394,Cargills,True
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9880802,81.0601358,Cargills,True
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",8.7523234,80.4978399,Cargills,False
1157,FC PILIMATALAWA,"178, Colombo Road , Pilimathalawa.",7.2651202,80.5579114,Cargills,True
1158,FC DAMBULLA,"643, Anuradhapura Road,  Dambulla",8.3110811,80.4222027,Cargills,False
1159,FC AKURANA,"281, Matale Road , Akurana.",7.369326,80.617162,Cargills,False
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.364285,81.3199063,Cargills,False
1164,FC HATTON,"171, Dimbulla Road  ,  Hatton.",6.8927975,80.5972816,Cargills,True
1170,FC KUNDASALE,"Bamunupola Watta,  Kundasale.",7.3654715,80.6042434,Cargills,True
1169,FC TANGALLE,"No.4,Mahawela Rd,  Tangalle.",6.0243383,80.7940726,Cargills,True
1187,FC KARAPITIYA,"Namal Traders, Karapitiya.",6.0705817,80.2251603,Cargills,True
1186,FC EHELIYAGODA,"No.44, Main Street , Eheliyagoda",6.8485638,80.26001,Cargills,True
1188,FC GAMPOLA,"No.8/8, Nawalapitiya Road, Gampola.",7.1644479,80.5708044,Cargills,True
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5768576,81.2098826,Cargills,False
1199,FC MAWANELLA,"No.22/C ,Kandy Road   Mawanella.",7.2535678,80.4476284,Cargills,True
1162,FC TRINCOMALEE,"No.190, Thirugnanasampanthan Street, Trincomalee.",8.5873638,81.2152121,Cargills,True
1278,FC KULIYAPITIYA,"No. 183 , Hettipola Road , Kuliyapitiya",7.4730749,80.0447041,Cargills,True
1279,FC BANDARAGAMA,"No. 51 , Panadura Road , Bandaragama .",6.7145042,79.989068,Cargills,True
1281,FC PANNALA,"No. 33, Kuliyapitiya Road,  Pannala.",7.330053,80.0254128,Cargills,True
1288,FC BATTICALOA,"No. 67, St. Anthonys Street,  Batticaloa",7.7142512,81.6951774,Cargills,False
1286,FC DHARGA TOWN,"No. 321/3,  Main Street,  Dhargatown",6.4447452,80.0168602,Cargills,False
1289,FC NAWALAPITIYA,"No. 51, Gampola Road,  Nawalapitiya.",7.2129247,80.5985304,Cargills,False
1294,FC AMPARA,"Reegal Cinama ,  Nidahas Mawatha , Ampara.",7.3017563,81.6747295,Cargills,True
1291,FC DICKMANS ROAD,"No. 15, Dickmans Road , Bambalapitiya.",6.8868953,79.8589319,Cargills,True
1292,FC GRANDPASS,"No. 130/C,  Layards Broadway,  Granpass,  Colombo  14.",6.9442148,79.8671381,Cargills,True
1297,FC MONERAGALA,"No. 105, Wellawaya Road,  Monaragala",6.8715767,81.3502161,Cargills,False
1298,FC IPALOGAMA,"Ranajayapura, Ipalogama.",8.0720588,80.5480118,Cargills,True
1412,FC PALMADULLA,"No.115, Rathnapura road, Pelmadulla.",6.9465934,80.2150728,Cargills,False
1419,FC JAWATTA,"No 60, Jawatta Road, Thimbirigasyaya.",6.8950029,79.8667171,Cargills,True
1411,FC DUPLICATION,"No. 450 E, R A De Mel Mawatha, Colombo 03",6.9023722,79.8544768,Cargills,False
1422,FC MANIPPAY,"No. 120 Jaffna Road, Manipay.",9.694305,80.0155851,Cargills,False
1432,FC KANNATHTHIDI,"No. 54, Kannathiddy Road, Jaffna",9.6711897,80.0116138,Cargills,True
1425,FC AKKARAIPATHTHU,"No.143/B 1, Kalmunai road, Akkaraipattru.",7.2209897,81.8499615,Cargills,False
1424,FC KALMUNEI,No. 1034/1 Kalmunai 14,7.4143831,81.8306334,Cargills,False
1433,FC NORRIS CANAL,"No. 25,   Norris Canal Road , Colombo 10",6.9224477,79.8659523,Cargills,True
1323,EX TRILLIUM RESIDENCE,"No. 153, Elvitigala Mawatha, Colombo 08",6.9039429,79.877699,Cargills,False
1428,FC WARIYAPOLA,"No. 107, Kurunegala Road, Wariyapola.",7.6202257,80.245668,Cargills,False
1321,EX KURUWITA,"No 96, Main Road, Kuruwita,",6.8218403,80.3615079,Cargills,False
1322,EX RUWANWELLA,"No.114, Main Street, Ruwanwella.",7.0861437,80.2750658,Cargills,False
1319,EX DIGANA,"Methsiripaya, New Town, Rajawella, Digana.",7.2963549,80.7301035,Cargills,True
1434,FC KADURUWELLA,"No. 896, Batticaloa Road, Kaduruwela",7.9286977,81.0340589,Cargills,True
1431,FC KILINOCHCHI,"No. 7-10 Anthoneypillai Building, Karadibokku, Kilinochchi.",9.3802886,80.3769999,Cargills,False
1327,EX SUWARAPOLA,"No. 428, Moratuwa Rd, Suwarapola, Piliyandala.",6.7943316,79.9041149,Cargills,True
1326,EX KOTIYAKUBURA,"No. 146, Ruwanwella Road, Kotiyakumbura.",7.2185001,80.204841,Cargills,False
1420,FC MANCHANTHODUWAI,"No. 488 New Kalmunai Road, Manchanthoduwaii",7.7212716,81.7035739,Cargills,False
1435,FC WELIMADA,"No. 11 Boralanda Road, Welimada",6.8941143,80.8703383,Cargills,False
1429,FC BATTICALOA 02,"No.03, Gnanasooriyam Square, Trinco Road, Batticaloa.",7.7260247,81.6903646,Cargills,True
1331,EX BENTOTA,"No. 118, Pahurumulla, Galle Road, Bentota",6.4255312,79.997709,Cargills,True
1430,FC GALEWELA,"No. 210, Kalawewa Junction, Galewala",7.7597527,80.5709748,Cargills,True
1443,FC PUTTALUM,"No. 97B, Kurunagala Road, Puttalam.",7.4521165,80.3452543,Cargills,False
1439,FC POTHUVIL,"Kaleej Front Buildingâ€, Main Street, Pothuvil.",6.8752706,81.8306334,Cargills,False
1446,FC WARD PLACE,"No. 48, Ward Place, Colombo-07",6.9159721,79.8701853,Cargills,True
1448,FC ERAVUR,"No. 42,44, Main street, Eravur",7.7768972,81.6042028,Cargills,True
1341,EX MELSIRIPURA,"Cargills Food City Express, Dambulla Road , Melsiripura",7.6378926,80.5051478,Cargills,True
1342,EX NELLIYADI,"No.163, Jaffna Road, Nelliyady.",9.6943052,80.0155802,Cargills,False
1453,FC SAMANTHURAI,"No. 32/2, Ampara Road,Viliniyady Junction,Sammanthurai.",7.3643792,81.8044054,Cargills,False
1343,EX BELIATTA,"No. 52, Tangalle Road, Beliatta",6.0481573,80.7339144,Cargills,False
1457,FC THISSAMAHARAMA,"No. 142, Hambantota Road, Thissamaharama",6.2791538,81.2876691,Cargills,True
1339,EX MIDDENIYA,"Liyanage Building, Weeraketiya Road, Middeniya.",6.2456851,80.7655493,Cargills,False
1335,EX GALGAMUWA,"No. 37, Anuradhapura Road, Galgamuwa",7.992446,80.2689462,Cargills,True
1338,EX MALWANA,"No.52/10/A Main Street, Malwana",6.947975,80.0145596,Cargills,True
1455,FC CHUNNAKAM,"No. 91, K. K. S. Road, Chunnakam.",9.7387528,80.0248317,Cargills,True
1350,EX MATALE ROSE ST,"No. 1/15, Rose Street,Matale.",7.4707049,80.6238192,Cargills,True
1324,EX ALAWWA,"No. 151, Giriulla Road,Alawwa.",7.2396301,80.125241,Cargills,False
1352,EX SOUTHERN HIGHWAY A,"Cargills Food City Express A ,Canowin Arcade ,Welipenna Rest area.",6.4683752,80.0795258,Cargills,True
1353,EX SOUTHERN HIGHWAY B,"Cargills Food City Express B,Canowin Arcade,Welipenna Rest area.",6.4683752,80.0795258,Cargills,False
1464,FC PALLEKELE,"No. 396, Digana Road, Pallekele",7.294184,80.7380716,Cargills,True
1155,FC AMBALANTHOTA,"No 129, Jayantha Building, Tangalle Road, Ambalantota.",6.1258545,81.110808,Cargills,False
1444,FC GALLE 02,"No. 10/8, Wakwella Road, Galle",6.035213,80.2171656,Cargills,False
1349,EX KARANDENIYA,"No.343, MAHAHENDHANDA, KARANDENIYA",6.2683217,80.0898085,Cargills,True
1460,FC KATUGASTOTA2,"No. 452, Katugastota road, kandy",7.3209701,80.6275694,Cargills,False
1355,EX ERIYAGAMA,"No.180, Colombo road, Eiryagama.",6.9350815,79.9845577,Cargills,False
1466,FC AMBALANGODA2,"No. 37, New Road, Ambalangoda.",6.2441521,80.0590804,Cargills,True
1364,EX DEANS ROAD,"No. 153, Deans Road,Colombo 10",6.9246891,79.8651595,Cargills,True
1375,EX BUTTALA,"No. 36, Monaragala Road,Buttala.",6.7619287,81.2504407,Cargills,True
